File Name,McCabe,SLOC,Readability,Number of Revisions
src/checkstyle/2230.json,0,6,0.2909364402294159,1
src/checkstyle/3348.json,1,14,0.3469148874282837,4
src/checkstyle/1227.json,1,9,0.23561562597751617,0
src/checkstyle/1627.json,1,6,0.03973293676972389,0
src/checkstyle/2147.json,0,6,0.49537143111228943,0
src/checkstyle/659.json,0,3,0.7066888213157654,0
src/checkstyle/785.json,0,11,0.4633294343948364,0
src/checkstyle/1042.json,2,12,0.0142060536891222,0
src/checkstyle/3694.json,0,6,0.4363759160041809,1
src/checkstyle/1877.json,0,3,0.41723111271858215,0
src/checkstyle/924.json,0,4,0.6546630263328552,0
src/checkstyle/2766.json,1,15,0.017621511593461037,3
src/checkstyle/3807.json,0,4,0.9182825684547424,1
src/checkstyle/3508.json,0,4,0.6337543725967407,0
src/checkstyle/553.json,0,4,0.023236379027366638,1
src/checkstyle/2688.json,1,11,0.05194895714521408,0
src/checkstyle/3090.json,0,4,0.7466023564338684,0
src/checkstyle/341.json,0,21,0.11765707284212112,1
src/checkstyle/1432.json,0,7,0.05238981544971466,0
src/checkstyle/3858.json,0,5,0.32455065846443176,1
src/checkstyle/2716.json,0,4,0.5906170606613159,0
src/checkstyle/535.json,0,3,0.6746581792831421,0
src/checkstyle/759.json,0,11,2.0637304987758398E-4,0
src/checkstyle/2258.json,0,6,0.1848418116569519,0
src/checkstyle/1523.json,0,3,0.8835563659667969,0
src/checkstyle/1641.json,1,8,0.01860932447016239,1
src/checkstyle/3695.json,0,3,0.9371213912963867,0
src/checkstyle/2251.json,3,20,0.2912950813770294,2
src/checkstyle/1766.json,0,4,0.6028108596801758,1
src/checkstyle/1253.json,2,12,0.35834529995918274,0
src/checkstyle/178.json,0,27,0.0208634901791811,0
src/checkstyle/2916.json,0,4,0.15501417219638824,0
src/checkstyle/2110.json,0,3,0.31042516231536865,1
src/checkstyle/2981.json,0,3,0.7884300351142883,0
src/checkstyle/2693.json,0,4,0.9881178736686707,0
src/checkstyle/2937.json,2,13,0.020341798663139343,1
src/checkstyle/3472.json,0,3,0.7186862826347351,0
src/checkstyle/2831.json,1,8,0.20868118107318878,0
src/checkstyle/2159.json,0,4,0.6579740047454834,0
src/checkstyle/454.json,0,3,0.3811928927898407,0
src/checkstyle/3644.json,0,3,8.764575468376279E-4,0
src/checkstyle/2361.json,0,4,0.3208090662956238,1
src/checkstyle/559.json,0,3,0.5519450306892395,0
src/checkstyle/2386.json,0,4,0.6271756291389465,1
src/checkstyle/2754.json,0,6,0.8234317898750305,2
src/checkstyle/1700.json,1,5,0.24295155704021454,0
src/checkstyle/2533.json,3,16,0.20511749386787415,0
src/checkstyle/412.json,0,3,0.8819372057914734,0
src/checkstyle/614.json,1,11,0.3793174624443054,1
src/checkstyle/1313.json,0,4,0.10680583864450455,0
src/checkstyle/709.json,2,10,0.2429368644952774,0
src/checkstyle/1681.json,2,19,0.07322011142969131,2
src/checkstyle/661.json,0,3,0.7244775295257568,0
src/checkstyle/103.json,0,4,0.9961913824081421,0
src/checkstyle/2735.json,3,19,0.060441579669713974,0
src/checkstyle/1101.json,0,4,0.3105293810367584,0
src/checkstyle/2639.json,0,6,0.33935558795928955,1
src/checkstyle/715.json,0,4,0.4056130349636078,1
src/checkstyle/1892.json,0,3,0.31042516231536865,0
src/checkstyle/216.json,0,24,0.05510387569665909,0
src/checkstyle/616.json,0,4,0.4056130349636078,1
src/checkstyle/1746.json,6,58,0.0019902032800018787,0
src/checkstyle/994.json,1,6,0.004262516275048256,0
src/checkstyle/3402.json,4,19,0.10033587366342545,2
src/checkstyle/808.json,0,8,6.260164664126933E-4,1
src/checkstyle/3422.json,0,5,0.32628631591796875,0
src/checkstyle/2682.json,4,30,4.5225900248624384E-4,1
src/checkstyle/2970.json,0,4,0.7151726484298706,1
src/checkstyle/3334.json,0,3,0.38495349884033203,0
src/checkstyle/1826.json,5,34,3.08031914755702E-4,1
src/checkstyle/2304.json,0,4,0.36557894945144653,0
src/checkstyle/797.json,0,4,0.9344408512115479,0
src/checkstyle/1126.json,2,15,0.008149640634655952,1
src/checkstyle/1940.json,1,9,0.04990474507212639,0
src/checkstyle/1671.json,0,8,0.07278937101364136,2
src/checkstyle/358.json,0,22,0.03802268207073212,0
src/checkstyle/1187.json,0,9,0.005853638052940369,0
src/checkstyle/1223.json,2,11,0.5885971784591675,0
src/checkstyle/660.json,0,3,0.004091832786798477,0
src/checkstyle/204.json,0,25,0.020757239311933517,0
src/checkstyle/1855.json,0,3,0.720780611038208,0
src/checkstyle/3059.json,3,7,0.3964890241622925,0
src/checkstyle/595.json,0,37,5.657127476297319E-4,0
src/checkstyle/3789.json,0,4,0.8625301122665405,1
