File Name, McCabe, SLOC, Readability, Number of Revisions
src/hadoop/36397.json,0,3,0.21460868418216705,0
src/hadoop/47262.json,0,36,0.0,0
src/hadoop/34201.json,1,3,0.09864426404237747,0
src/hadoop/3175.json,2,14,0.01681450754404068,1
src/hadoop/8436.json,1,3,0.49116072058677673,0
src/hadoop/8452.json,0,3,0.13083387911319733,1
src/hadoop/57917.json,1,7,0.023467961698770523,0
src/hadoop/81170.json,1,3,0.7856839299201965,0
src/hadoop/49825.json,0,8,0.6524592638015747,0
src/hadoop/39179.json,3,12,0.3672754466533661,0
src/hadoop/12873.json,0,13,0.13423259556293488,1
src/hadoop/64780.json,0,16,0.004577417392283678,0
src/hadoop/30187.json,1,4,0.46371427178382874,0
src/hadoop/83342.json,0,6,0.5205228924751282,0
src/hadoop/29696.json,6,11,0.6266293525695801,0
src/hadoop/32592.json,2,3,0.7487801313400269,1
src/hadoop/23944.json,0,24,0.08103850483894348,0
src/hadoop/65615.json,0,3,0.39007970690727234,0
src/hadoop/45760.json,0,3,0.8740060925483704,0
src/hadoop/37414.json,0,5,0.7168521881103516,0
src/hadoop/64070.json,0,5,0.016373462975025177,0
src/hadoop/37800.json,0,31,1.6408854571636766E-4,0
src/hadoop/75541.json,0,10,0.021641485393047333,0
src/hadoop/83169.json,0,3,0.13288795948028564,0
src/hadoop/63039.json,2,3,0.2948405146598816,0
src/hadoop/4551.json,0,7,0.9714327454566956,0
src/hadoop/44299.json,0,6,0.02885090745985508,0
src/hadoop/13761.json,3,3,0.6543203592300415,0
src/hadoop/52419.json,6,7,0.01665446348488331,0
src/hadoop/69734.json,0,5,0.17750102281570435,0
src/hadoop/77512.json,0,3,0.9413626194000244,0
src/hadoop/60316.json,1,15,0.5948653817176819,0
src/hadoop/39833.json,0,3,0.41879802942276,0
src/hadoop/64623.json,1,3,0.30372628569602966,1
src/hadoop/34295.json,0,12,0.15145106613636017,0
src/hadoop/67698.json,1,15,0.1752863973379135,0
src/hadoop/29127.json,1,0,0.7318202257156372,0
